tanggal,provinsi,kab_kota,latitude,longitude,suhu_max,suhu_min,suhu_mean,suhu_feels_like_max,curah_hujan_mm,kelembapan,kecepatan_angin,tekanan_udara,awan_persen,waktu_ingest,sumber
2026-01-08,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.7,26.2,27.1,31.7,10.1,83,30.7,1011.1,100,2026-06-01T23:32:49.907616,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.8,25.7,27.0,30.3,30.3,81,31.9,1011.1,99,2026-06-01T23:32:53.074117,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,28.3,25.8,27.2,31.3,19.0,78,35.7,1011.3,100,2026-06-01T23:32:56.257538,Open-Meteo_Archive
2026-01-11,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.5,24.0,26.3,29.7,21.0,84,32.0,1011.7,98,2026-06-01T23:32:58.839684,Open-Meteo_Archive
2026-01-12,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.7,25.0,26.1,30.1,35.7,83,39.0,1011.6,99,2026-06-01T23:33:02.020216,Open-Meteo_Archive
2026-01-13,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.5,25.2,26.6,31.0,22.6,82,36.7,1011.4,99,2026-06-01T23:33:06.710993,Open-Meteo_Archive
2026-01-14,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.3,24.7,26.5,30.5,27.1,83,31.3,1010.8,98,2026-06-01T23:33:10.244405,Open-Meteo_Archive
2026-01-08,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,29.5,24.4,26.4,33.7,1.6,83,13.9,1010.9,100,2026-06-01T23:33:13.453139,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,30.6,24.0,26.6,35.7,2.8,81,17.3,1010.8,92,2026-06-01T23:33:17.626934,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,27.5,23.4,25.3,31.1,11.2,86,14.3,1011.2,99,2026-06-01T23:33:21.237262,Open-Meteo_Archive
2026-01-11,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,29.0,23.6,25.3,33.8,12.1,85,18.2,1011.3,88,2026-06-01T23:33:24.650835,Open-Meteo_Archive
2026-01-12,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,28.0,23.0,24.6,31.9,57.8,88,16.1,1011.7,91,2026-06-01T23:33:27.923749,Open-Meteo_Archive
2026-01-13,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,29.1,23.0,25.4,33.7,8.2,83,19.5,1011.3,97,2026-06-01T23:33:31.053276,Open-Meteo_Archive
2026-01-14,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,28.2,23.5,25.4,32.2,22.6,85,17.7,1010.7,99,2026-06-01T23:33:37.706244,Open-Meteo_Archive
2026-01-08,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,29.6,25.0,26.8,34.4,0.4,81,12.5,1010.8,100,2026-06-01T23:33:41.553015,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,30.8,24.5,26.7,36.4,2.3,80,14.7,1010.7,94,2026-06-01T23:33:44.976010,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,27.5,23.9,25.6,31.7,6.5,85,13.6,1011.2,99,2026-06-01T23:33:48.670687,Open-Meteo_Archive
2026-01-11,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,28.4,23.8,25.4,32.3,9.2,86,14.4,1011.3,90,2026-06-01T23:33:52.044118,Open-Meteo_Archive
2026-01-12,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,27.8,23.3,24.7,32.2,37.8,88,14.4,1011.6,91,2026-06-01T23:33:56.280417,Open-Meteo_Archive
2026-01-13,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,28.5,23.0,25.7,33.1,3.0,83,16.6,1011.3,98,2026-06-01T23:33:59.625877,Open-Meteo_Archive
2026-01-14,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2521,106.884,28.4,23.5,25.6,32.9,11.7,85,14.7,1010.6,100,2026-06-01T23:34:03.302991,Open-Meteo_Archive
2026-01-08,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,29.4,24.9,26.8,34.3,1.1,80,15.7,1010.8,100,2026-06-01T23:34:08.829988,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,30.3,24.7,26.6,34.8,1.8,79,17.8,1010.8,96,2026-06-01T23:34:12.741171,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,27.5,24.0,25.6,31.2,6.0,84,15.7,1011.2,99,2026-06-01T23:34:15.831271,Open-Meteo_Archive
2026-01-11,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,28.2,23.6,25.4,31.5,5.5,86,16.2,1011.3,90,2026-06-01T23:34:19.277713,Open-Meteo_Archive
2026-01-12,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,27.4,23.5,24.7,30.5,27.6,88,16.0,1011.6,91,2026-06-01T23:34:22.912721,Open-Meteo_Archive
2026-01-13,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,28.8,23.1,25.7,32.4,5.1,83,18.4,1011.3,96,2026-06-01T23:34:26.330915,Open-Meteo_Archive
2026-01-14,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403,28.2,23.5,25.4,32.2,2.9,85,15.9,1010.6,100,2026-06-01T23:34:29.666421,Open-Meteo_Archive
2026-01-08,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,29.5,24.5,26.5,34.0,1.2,82,14.1,1010.9,100,2026-06-01T23:34:33.001474,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,30.2,24.0,26.2,35.3,2.5,82,15.7,1010.9,96,2026-06-01T23:34:36.784243,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,27.5,23.6,25.3,31.2,6.4,87,15.4,1011.3,98,2026-06-01T23:34:40.674100,Open-Meteo_Archive
2026-01-11,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,28.9,23.2,25.1,32.6,5.8,88,15.7,1011.4,89,2026-06-01T23:34:44.159670,Open-Meteo_Archive
2026-01-12,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,27.7,23.1,24.5,30.6,20.1,89,16.6,1011.7,91,2026-06-01T23:34:48.466961,Open-Meteo_Archive
2026-01-13,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,29.0,22.7,25.5,33.1,3.5,84,17.6,1011.3,98,2026-06-01T23:34:51.735824,Open-Meteo_Archive
2026-01-14,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673,28.2,23.1,25.2,32.3,7.8,86,15.0,1010.7,100,2026-06-01T23:34:55.068462,Open-Meteo_Archive
2026-01-08,DKI JAKARTA,KOTA JAKARTA UTARA,-6.1339,106.8823,29.4,25.0,26.9,34.1,2.0,80,18.3,1010.7,100,2026-06-01T23:34:58.355686,Open-Meteo_Archive
2026-01-09,DKI JAKARTA,KOTA JAKARTA UTARA,-6.1339,106.8823,29.9,24.9,26.7,34.2,1.5,79,21.5,1010.7,97,2026-06-01T23:35:01.768497,Open-Meteo_Archive
2026-01-10,DKI JAKARTA,KOTA JAKARTA UTARA,-6.1339,106.8823,27.6,24.2,25.7,31.4,5.3,84,15.3,1011.1,99,2026-06-01T23:35:08.125049,Open-Meteo_Archive
